OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
335;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11,4107497;47,227150529
336;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11,41093363;47,227060241
337;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;11,427664929;47,22758449
338;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Fußballplatz;Fußball/Football;11,425270579;47,270409618
339;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11,424844019;47,270925102
340;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11,425856967;47,270902504
341;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11,425647064;47,271165024
342;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11,425413233;47,271090244
343;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11,425204243;47,271023746
344;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11,425871534;47,27124427
345;Hallenbad Olympisches Dorf;Kugelfangweg 46;Hallenbad;Schwimmen;11,446984774;47,269449412
259;Baggersee;Archenweg;Bocciabahn;Sonstiges;11,447088415;47,266924323
260;Baggersee;Archenweg;Freibad;Schwimmen;11,446880259;47,265771005
261;Baggersee;Archenweg;Eislaufplatz;Eissport;11,449268958;47,266288749
262;Sportanlage Ursulinengymnasium;Fürstenweg 86;Hallenbad;Schwimmen;11,369732339;47,26271164
263;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sporthalle;Sporthalle;11,369895292;47,262426031
264;Sportanlage PÄDAK;Pastorstraße 7;Sporthalle;Sporthalle;11,395080561;47,253075465
265;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Kegelbahn;Sporthalle;11,424419127;47,270643668
266;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;11,430956929;47,266751823
267;Tennis- und Squashcenter;Stadlweg 40;Squashhalle;Tennis/Squash;11,431273524;47,266733508
268;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;11,431597708;47,266720216
269;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;11,41131262;47,257194646
270;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;11,411579125;47,257183497
