OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
105;Sportanlage Andechsstraße;Andechsstraße 70;Beachvolleyballplatz;Funsport;11,421233461;47,266909974
106;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;11,420877867;47,266956174
107;Spielplatz Lohbachufer;Lohbachufer;Skate-/Rollerbladeplatz;Funsport;11,343931872;47,267478166
108;Sportanlage Stadtpark Rapoldi;Pradler Platz;Streetballplatz;Funsport;11,406835823;47,267027934
109;Sportanlage Andechsstraße;Andechsstraße 70;Basketballplatz;Funsport;11,420690524;47,266863651
110;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;11,420834353;47,266871251
111;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;11,420790842;47,266786329
112;Sportanlage Andechsstraße;Andechsstraße 70;Beachsoccerplatz;Funsport;11,421136983;47,266722154
113;Kegelbahn HS Hötting West;Viktor-Franz-Hess-Straße 9;Kegelbahn;Sporthalle;11,344663886;47,267404137
114;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;11,421501791;47,266389114
115;Spielplatz Lohbachufer;Lohbachufer;Sportplatz;Spielplatz;11,342503238;47,266968127
116;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;11,421502098;47,266333155
117;Sporthalle HS Hötting West;Viktor-Franz-Hess-Straße 9;Sporthalle;Sporthalle;11,344788494;47,266886644
118;Eislaufplatz Sparkassenplatz;Sparkassenplatz;Eislaufplatz;Eissport;11,394822395;47,266016368
119;Skateplatz Amraser Hallenbad;Stadtpark Rapoldi;Skate-/Rollerbladeplatz;Funsport;11,405561275;47,265428028
120;Hallenbad Amraserstraße;Amraser Straße 3;Hallenbad;Schwimmen;11,405292589;47,265167198
121;Hallenbad Höttinger Au;Fürstenweg 12;Hallenbad;Schwimmen;11,380685167;47,265209572
122;Hallenbad Amraserstraße;Amraser Straße 3;Hallenbad;Schwimmen;11,405426127;47,264926148
123;Sportanlage HS Hötting;Fürstenweg 13;Sportplatz;Spielplatz;11,382279021;47,264763319
124;Spielplatz Kranewitterstraße;Kranewitterstraße;Sportplatz;Spielplatz;11,420077777;47,264593947
125;Sportanlage HS Hötting;Fürstenweg 13;Sporthalle;Sporthalle;11,381602365;47,264835818
126;Streetballplatz Arthur-Haidl-Promenade 1;Prandtauerufer;Streetballplatz;Funsport;11,3827467;47,264663165
127;Spielplatz Ursulinenpark;Ursulinenweg;Basketballplatz;Funsport;11,36548428;47,263504805
128;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sportplatz;Spielplatz;11,369041389;47,262193899
129;Fitness- und Karatecenter Haslwanter;Reimmichlgasse 9;Fitnesscenter;Fitness/Klettern;11,368083449;47,262523936
130;Tennisplatz Kranebitter Allee;Kranebitter Allee;Tennisplatz;Tennis/Squash;11,349278287;47,262638194
131;Innsbrucker Taekwon-do-Center;Andreas-Hofer-Straße 5;Fitnesscenter;Fitness/Klettern;11,391552405;47,261748653
132;Streetballplatz Arthur-Haidl-Promenade 2;Fischnalerstraße;Streetballplatz;Funsport;11,380033388;47,261621726
133;Sporthalle HS Müllerstraße;Müllerstraße 38;Sporthalle;Sporthalle;11,388011886;47,261499076
134;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11,406920389;47,26095385
135;Sporthalle HS Dr.-Fritz-Prior;Leopoldstraße 15;Sporthalle;Sporthalle;11,396779504;47,261032262
136;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11,408328534;47,260590487
137;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11,407073834;47,26057616
138;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11,408682371;47,260261707
139;Sporthalle VS Angergasse;Angergasse 18;Sporthalle;Sporthalle;11,369550121;47,260483976
140;Spielplatz Angergasse;Angergasse;Sportplatz;Spielplatz;11,36996011;47,259942611
141;Eisschützenclub Tivoli;Bleichenweg 54;Bocciabahn;Sonstiges;11,434690689;47,259394842
142;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;11,408524892;47,259533157
143;Sporthalle VS Amras;Kirchsteig 8;Sporthalle;Sporthalle;11,428709364;47,258495165
144;Boccia-/Stockschießanlage Wilten West / Besele II;Innerkoflerstraße 11c;Bocciabahn;Sonstiges;11,384356195;47,258638558
145;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sportplatz;Spielplatz;11,377160604;47,258558945
146;Boccia-/Stockschießanlage Wilten West / Besele I;Innerkoflerstraße 11b;Bocciabahn;Sonstiges;11,384137043;47,258577611
147;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sporthalle;Sporthalle;11,376733693;47,258592127
148;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,360396655;47,25877709
149;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11,357882021;47,258637853
150;Olympiahalle;Olympiastraße 10;Eishalle;Eissport;11,409531491;47,257918875
151;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11,357672809;47,258582282
152;Tiroler Wasserkraft Arena;Olympiastraße 10;Eishalle;Eissport;11,410604562;47,257967711
153;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,360543648;47,258522517
154;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11,357464051;47,258527289
155;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,36030675;47,258508008
156;Spielplatz Pechegarten;Pechestraße;Sportplatz;Spielplatz;11,398994251;47,258221628
157;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,359964501;47,25848708
158;Fußballplatz Wilten West / Besele;Innerkoflerstraße 11;Fußballplatz;Fußball/Football;11,383945093;47,258011619
159;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,359727461;47,258472691
160;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11,357256071;47,258471868
161;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,359436755;47,258365064
162;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;11,355827205;47,258228103
163;Tennis- und Squashhallen West;Fürstenweg 172;Squashhalle;Tennis/Squash;11,356160901;47,258282574
164;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11,357641047;47,258219171
165;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;11,35743202;47,258164329
166;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,360292124;47,258064575
167;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,359785547;47,258033792
168;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;11,35948279;47,258015146
169;Landessportcenter Tirol;Olympiastraße 10a;Hallenbad;Schwimmen;11,411184728;47,257506836
170;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;11,356168508;47,257912268
171;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;11,408976942;47,257193135
172;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;11,409864162;47,257090139
173;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11,358882444;47,257562926
174;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11,358314811;47,256967989
175;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11,358978874;47,257011485
176;Spielplatz Mitterweg;Mitterweg;Sportplatz;Spielplatz;11,370817399;47,257133834
177;Spielplatz Mitterweg;Mitterweg;Skate-/Rollerbladeplatz;Funsport;11,37061413;47,25707157
178;Universitätssportanlagen;Fürstenweg 185;Hallenbad;Schwimmen;11,355710433;47,25718508
179;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11,357504208;47,256658792
180;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11,3598564;47,256994444
181;Tivoli Stadion;Stadionstraße 1-1b;Fußballplatz;Fußball/Football;11,411139601;47,256075537
182;Universitätssportanlagen;Fürstenweg 185;Schießstandhalle;Sonstiges;11,354911966;47,256959119
183;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11,354367091;47,256621195
184;Kletterzentrum Tivoli;Stadionstraße 1;Kletterhalle;Fitness/Klettern;11,412083045;47,256349593
185;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,356585593;47,25692336
186;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,35666662;47,256829505
187;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,356683024;47,256707476
188;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11,355233981;47,256567824
189;Olympiaworld;Olympiastraße 10;Fußballplatz;Fußball/Football;11,409771172;47,255875321
190;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,356256493;47,256626035
191;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,355773898;47,256673862
192;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;11,403569134;47,256002388
193;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;11,355827678;47,25652252
194;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,356625174;47,256272579
195;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11,352479709;47,256245132
196;Universitätssportanlagen;Fürstenweg 185;Skate-/Rollerbladeplatz;Funsport;11,351961628;47,256328391
197;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11,355988088;47,256175818
198;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11,355398535;47,256144065
199;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11,35144559;47,25624767
200;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;11,40366197;47,255671182
201;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11,351286034;47,256231002
202;Fitnessparkour Amras;Tummelplatzweg;Fitnessparkour;Fitness/Klettern;11,427065414;47,254496567
203;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11,351126403;47,256214324
204;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11,351887265;47,256113189
205;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;11,351768714;47,256020234
