OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
87;Spielplatz Kindergarten Hötting;Schneeburggasse 30;Sportplatz;Spielplatz;79325,677899999500000;237391,073700000010000;11,381312996000100;47,270595741000101
88;Spielplatz Waltherpark;Innstraße;Sportplatz;Spielplatz;80130,321100000307000;237383,738700001010000;11,391943245000100;47,270432309000100
89;Fußballplatz Reichenau;Klappholzstraße 2;Fußballplatz;Fußball/Football;82092,392599999905000;237289,502299999990000;11,417850096000100;47,269343034000102
90;Sporthalle HS Pembaurstraße;Pembaurstraße 18;Sporthalle;Sporthalle;81557,203200000295000;237292,330900000000000;11,410779499000100;47,269435006000002
91;Sporthalle HS Gabelsbergerstraße;Gabelsbergerstraße 1;Sporthalle;Sporthalle;81535,488699999594000;237286,085400000010000;11,410491462000000;47,269381529999997
92;Fußballplatz Reichenau;Klappholzstraße 2;Fußballplatz;Fußball/Football;82044,421199999793000;237245,931799999990000;11,417208303000100;47,268957182000101
93;SVO Stockschützenverein Olympisches Dorf;Kugelfangweg 48;Bocciabahn;Sonstiges;84328,830699999802000;237264,339400000990000;11,447393694000100;47,268833990000097
94;Sporthalle VS Dreiheiligen;Jahnstraße 5;Sporthalle;Sporthalle;81001,457700000101000;237243,986899999990000;11,403428022000099;47,269068871000101
95;Spielplatz Durigstraße;Durigstraße;Sportplatz;Spielplatz;82604,300300000206000;237234,450400000000000;11,424603427000100;47,268783900000102
96;Spielplatz Andechsstraße;Andechsstraße;Sportplatz;Spielplatz;82407,587700000004000;237202,399399999990000;11,421998531000000;47,268520322000100
97;Schießstand Vereinsheim Reichenau;Valiergasse 8a;Schießstandhalle;Sonstiges;82862,628999999695000;237155,198799998990000;11,428001846000100;47,268038714000099
98;Sporthalle VS Mariahilf;Dr.-Sigismund-Epp-Weg 3;Sporthalle;Sporthalle;79679,774000000194000;237140,567199999000000;11,385947040000101;47,268300121000003
99;Sporthalle VS Pradl-Leitgeb;Pradler Platz 8;Sporthalle;Sporthalle;81330,527900000103000;237077,278599999990000;11,407745537000000;47,267529065000097
100;Sporthalle VS Allerheiligen;Karl-Innerebner-Straße 70;Sporthalle;Sporthalle;77446,353600000002000;237075,488500001000000;11,356427164000101;47,267981401999997
101;Bocciaanlage Stadtpark Rapoldi;Pradler Platz;Bocciabahn;Sonstiges;81244,245599999995000;237059,190199998990000;11,406602302000101;47,267377049000103
102;Sportanlage Andechsstraße;Andechsstraße 70;Fußballplatz;Fußball/Football;82393,899500000305000;237022,800100001010000;11,421784651999999;47,266906886000100
103;Sportanlage Stadtpark Rapoldi;Pradler Platz;Streetballplatz;Funsport;81253,459699999497000;237041,820699998990000;11,406720887000100;47,267219705999999
104;Sportanlage Stadtpark Rapoldi;Pradler Platz;Basketballplatz;Funsport;81237,770999999702000;237023,746500000010000;11,406510334000100;47,267059099000100
105;Sportanlage Andechsstraße;Andechsstraße 70;Beachvolleyballplatz;Funsport;82352,182900000407000;237022,562999999010000;11,421233461000000;47,266909974000001
106;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;82325,201600000306000;237027,324999998990000;11,420877867000099;47,266956174000100
107;Spielplatz Lohbachufer;Lohbachufer;Skate-/Rollerbladeplatz;Funsport;76501,502899999701000;237007,247500000990000;11,343931872000001;47,267478165999997
108;Sportanlage Stadtpark Rapoldi;Pradler Platz;Streetballplatz;Funsport;81262,450199999803000;237020,619799999990000;11,406835823000099;47,267027934000097
109;Sportanlage Andechsstraße;Andechsstraße 70;Basketballplatz;Funsport;82311,167299999899000;237016,841600001000000;11,420690524000101;47,266863651000101
110;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;82322,039999999994000;237017,837900000010000;11,420834353000100;47,266871251000097
111;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;82318,878499999599000;237008,350799999990000;11,420790842000100;47,266786329000098
112;Sportanlage Andechsstraße;Andechsstraße 70;Beachsoccerplatz;Funsport;82345,172299999700000;237001,580499998990000;11,421136983000100;47,266722154000000
113;Kegelbahn HS Hötting West;Viktor-Franz-Hess-Straße 9;Kegelbahn;Sporthalle;76557,004599999593000;236999,733299999990000;11,344663886000101;47,267404137000099
114;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;82373,294800000294000;236964,938800000000000;11,421501791000100;47,266389113999999
115;Spielplatz Lohbachufer;Lohbachufer;Sportplatz;Spielplatz;76394,122499999605000;236949,147900000010000;11,342503238000100;47,266968126999998
116;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;82373,404599999994000;236958,717900001010000;11,421502098000101;47,266333154999998
117;Sporthalle HS Hötting West;Viktor-Franz-Hess-Straße 9;Sporthalle;Sporthalle;76567,178299999796000;236942,322799999000000;11,344788494000101;47,266886644000103
118;Eislaufplatz Sparkassenplatz;Sparkassenplatz;Eislaufplatz;Eissport;80354,852599999896000;236895,748800000000000;11,394822395000100;47,266016368000102
119;Skateplatz Amraser Hallenbad;Stadtpark Rapoldi;Skate-/Rollerbladeplatz;Funsport;81168,436700000399000;236841,426700000010000;11,405561275000100;47,265428028000102
120;Hallenbad Amraserstraße;Amraser Straße 3;Hallenbad;Schwimmen;81148,500599999898000;236812,150200000000000;11,405292589000100;47,265167198000100
121;Hallenbad Höttinger Au;Fürstenweg 12;Hallenbad;Schwimmen;79286,189100000105000;236791,628599999010000;11,380685167000101;47,265209572000103
122;Hallenbad Amraserstraße;Amraser Straße 3;Hallenbad;Schwimmen;81158,973899999604000;236785,489899999990000;11,405426127000100;47,264926148000100
123;Sportanlage HS Hötting;Fürstenweg 13;Sportplatz;Spielplatz;79407,474700000093000;236743,632799999990000;11,382279021000000;47,264763319000103
124;Spielplatz Kranewitterstraße;Kranewitterstraße;Sportplatz;Spielplatz;82268,303899999693000;236763,862400001000000;11,420077777000101;47,264593947000002
125;Sportanlage HS Hötting;Fürstenweg 13;Sporthalle;Sporthalle;79356,157999999807000;236751,006300000010000;11,381602365000001;47,264835818000101
126;Streetballplatz Arthur-Haidl-Promenade 1;Prandtauerufer;Streetballplatz;Funsport;79443,017500000104000;236732,972999999010000;11,382746700000000;47,264663165000101
