OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
228;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;82213,223700000002000;232609,738099999990000;11,418588717000100;47,227242302000001
229;Reitarena Innsbruck-Igls;Römerstraße 50;Reitanlage;Sonstiges;82822,873300000094000;232645,274000000000000;11,426643766000000;47,227485558000097
230;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81591,335300000399000;232558,349099999000000;11,410369278000100;47,226857424999999
231;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81604,232099999703000;232548,026799999000000;11,410537663000101;47,226762999000101
232;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81617,094499999701000;232537,662500000010000;11,410705585000100;47,226668198000098
233;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;82988,194299999595000;232530,534700001010000;11,428805106000100;47,226432899000102
234;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81574,286999999502000;232527,965200000010000;11,410138690000100;47,226586288000100
235;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81561,246899999707000;232511,925400000010000;11,409963624000101;47,226443652999997
236;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81550,690799999997000;232498,609800000010000;11,409821847000000;47,226325209000002
237;Tennis Park Club Igls;Patscher Straße 21;Tennishalle;Tennis/Squash;81593,385099999607000;232453,723399999990000;11,410377327000001;47,225916255000101
238;Tennis Park Club Igls;Patscher Straße 21;Squashhalle;Tennis/Squash;81623,205000000104000;232463,620499999990000;11,410772796000099;47,226001569000097
239;Fußballplatz Igls;Heiligwasserweg;Fußballplatz;Fußball/Football;82391,453900000095000;232406,953899999990000;11,420904478000100;47,225396381000103
240;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81566,045199999600000;232437,323100001000000;11,410013419000100;47,225772147000001
241;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;82586,875400000295000;232230,676700000010000;11,423451892999999;47,223786641000103
242;Olympia Bob- und Rodelbahn;Römerstraße;Bobbahn;Wintersport;83445,840499999904000;231937,159799999990000;11,434736507000100;47,221038838000098
243;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;83347,716699999801000;230981,326999999990000;11,433263912000101;47,212455331999998
244;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;80741,338700000197000;231486,479900001000000;11,398955076000099;47,217322541000001
245;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;80607,263899999700000;231463,841399998990000;11,397181295000101;47,217135351000103
246;Klettergarten Goldbichl (ÖAV);Römerstraße;Klettergarten;Fitness/Klettern;82292,300900000104000;231311,878200000010000;11,419394890000101;47,215560580000002
247;Freibad Tivoli;Purtschellerstraße 1;Basketballplatz;Funsport;81335,983300000400000;236189,560200000010000;11,407656496000101;47,259545031000101
248;Freibad Tivoli;Purtschellerstraße 1;Sportplatz;Spielplatz;81351,354100000099000;236133,372800000010000;11,407849346000100;47,259037831000100
249;Freibad Tivoli;Purtschellerstraße 1;Skate-/Rollerbladeplatz;Funsport;81384,157599999598000;236127,299100000000000;11,408281572000099;47,258979156000102
250;Hypoxi Studio, Dobernig & Hintringer OEG;Viaduktbogen 53;Fitnesscenter;Fitness/Klettern;81064,589800000205000;237451,221200000000000;11,404299643000099;47,270924782000101
251;Fitnesscenter Lhotka;Innrain 11;Fitnesscenter;Fitness/Klettern;80093,782599999598000;236960,670799999990000;11,391384843000100;47,266632038000097
252;Fitnesscenter Kleewein;Grabenweg 67b;Fitnesscenter;Fitness/Klettern;83672,015800000197000;236856,521600001000000;11,438639625000100;47,265250305000102
253;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;80132,525100000203000;236330,958699999000000;11,391784104000100;47,260964215999998
254;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;80135,317400000102000;236313,185300000010000;11,391817814000101;47,260804037000099
255;Alfa Sports and SPA;Innrain 143;Fitnesscenter;Fitness/Klettern;79055,267099999794000;235781,855099999990000;11,377456259000001;47,256156233000098
256;Baggersee Minigolf;Archenweg;Minigolfanlage;Golf/Minigolf;84317,559799999901000;237080,718900001000000;11,447210222000100;47,267184135000001
257;Baggersee Minigolf;Archenweg;Skate-/Rollerbladeplatz;Funsport;84367,732599999799000;237066,349300000990000;11,447870382000101;47,267048480000099
258;Baggersee;Archenweg;Beachvolleyballplatz;Funsport;84280,771900000094000;237049,181199999990000;11,446718260000100;47,266905227999999
331;BMX-Dirtpark;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;76782,998800000205000;235560,074499999990000;11,347403165999999;47,254430536000100
332;Spielplatz Sauerweinwiese;Kranebitterbodenweg;Sportplatz;Spielplatz;75289,082000000402000;236752,268300000990000;11,327870257000100;47,265324816000103
333;Baggersee;Archenweg;Sportplatz;Spielplatz;84130,865799999796000;236819,894200001000000;11,444694706000099;47,264862427000097
334;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81647,330000000104000;232572,347200001010000;11,411111054000100;47,226976379000099
335;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81619,697100000500000;232591,331299999990000;11,410749700000100;47,227150529000099
336;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81633,764800000004000;232581,485400000990000;11,410933630000001;47,227060241000103
337;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;82900,054200000101000;232657,353800001000000;11,427664929000100;47,227584490000098
338;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Fußballplatz;Fußball/Football;82652,261800000400000;237415,894600000000000;11,425270579000101;47,270409618000102
339;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82619,183699999907000;237472,753000000000000;11,424844019000099;47,270925102000000
340;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82695,868599999696000;237471,311100001010000;11,425856967000099;47,270902503999999
341;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82679,577499999694000;237500,274999999990000;11,425647064000101;47,271165024000098
342;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82661,999699999593000;237491,714100000010000;11,425413233000100;47,271090244000099
343;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82646,288700000398000;237484,100400001010000;11,425204243000101;47,271023746000097
344;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82696,440000000395000;237509,322500000010000;11,425871534000100;47,271244270000103
345;Hallenbad Olympisches Dorf;Kugelfangweg 46;Hallenbad;Schwimmen;84296,911999999502000;237332,318200000010000;11,446984774000001;47,269449412000100
259;Baggersee;Archenweg;Bocciabahn;Sonstiges;84308,753399999798000;237051,703000000010000;11,447088415000101;47,266924323000097
260;Baggersee;Archenweg;Freibad;Schwimmen;84294,826999999597000;236923,258500000000000;11,446880259000100;47,265771004999998
261;Baggersee;Archenweg;Eislaufplatz;Eissport;84474,775999999605000;236983,395699999990000;11,449268958000101;47,266288749000097
262;Sportanlage Ursulinengymnasium;Fürstenweg 86;Hallenbad;Schwimmen;78460,977699999698000;236502,878300000010000;11,369732339000100;47,262711640000099
263;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sporthalle;Sporthalle;78473,731100000397000;236471,289100001010000;11,369895292000100;47,262426031000103
264;Sportanlage PÄDAK;Pastorstraße 7;Sporthalle;Sporthalle;80393,920499999993000;235457,308400000010000;11,395080561000000;47,253075465000101
265;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Kegelbahn;Sporthalle;82587,468700000099000;237441,015799999000000;11,424419127000100;47,270643667999998
266;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;83088,260700000494000;237015,263400000000000;11,430956929000001;47,266751823000099
267;Tennis- und Squashcenter;Stadlweg 40;Squashhalle;Tennis/Squash;83112,247899999798000;237013,563599999990000;11,431273524000099;47,266733508000101
268;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;83136,801599999904000;237012,430299998990000;11,431597708000099;47,266720216000103
269;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;81616,303299999796000;235932,063800000000000;11,411312620000000;47,257194646000102
270;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;81636,492100000396000;235931,102399999010000;11,411579125000101;47,257183497000099
271;ACT Fitness Studio Tivoli GmbH;Stadionstraße 1;Fitnesscenter;Fitness/Klettern;81689,904099999898000;235790,249500000990000;11,412258996000000;47,255910166000000
272;Inn-Lauf-Meilen;Karwendel Brücke bis New-Orleans-Brücke;Fitnessparkour;Fitness/Klettern;81506,811300000205000;238506,415200001010000;11,410334652000101;47,280359627000102
273;Body and Soul;Mitterweg 16;Fitnesscenter;Fitness/Klettern;78941,156700000196000;236174,222200001010000;11,376018038000000;47,259698566000097
274;Spielplatz SOS - Kinderdorf;Hermann-Gmeiner-Straße 51;Sportplatz;Spielplatz;84270,604000000298000;236329,305299998990000;11,446448543000100;47,260432682000001
275;Skigebiet Nordpark;Höhenstraße 145;Skigebiet;Wintersport;79145,962500000402000;241504,167599999990000;11,379665803000099;47,307607107000102
276;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Sportplatz;Spielplatz;80762,485700000107000;238023,298500000000000;11,400411154000000;47,276106687000002
277;Sportkegelbahn VS Fischerstraße;Franz-Fischer-Straße 38;Kegelbahn;Sporthalle;79949,871100000106000;236080,226299998990000;11,389326458000101;47,258731539000102
278;Sporthalle VS Fischerstraße;Franz-Fischer-Straße 38;Sporthalle;Sporthalle;79940,834499999895000;236095,590600001010000;11,389209826000100;47,258870810000097
279;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;81842,322999999902000;235701,257300000990000;11,414256053000100;47,255090923000097
280;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;81910,884999999806000;235719,383700000010000;11,415164986000100;47,255245410999997
281;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;81985,289599999800000;235735,460599999990000;11,416150724000101;47,255380733000003
282;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;81330,538999999902000;236208,130500000000000;11,407587947000099;47,259712708000102
283;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;81327,293100000403000;236221,831199999990000;11,407547555000100;47,259836321000101
284;Happy Fitness;Mitterweg 21;Fitnesscenter;Fitness/Klettern;78952,645800000100000;236004,183599999000000;11,376139863000001;47,258167994000097
285;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;79907,633600000307000;236800,761000000000000;11,388896967999999;47,265216564000099
286;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;79936,969700000205000;236779,611700000010000;11,389280768000001;47,265022803000100
287;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;80107,187099999705000;236675,912099999990000;11,391511036000100;47,264069525000103
288;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;80087,061200000302000;236671,136499999000000;11,391244297000100;47,264029025000099
289;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;79672,593700000099000;237586,187899999000000;11,385931421000100;47,272308536000097
290;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;79674,688400000305000;237563,820599998990000;11,385955120000100;47,272107129000098
291;Judozentrum Innsbruck;Franz-Fischer-Straße 7c;Sporthalle;Sporthalle;80421,713600000396000;236006,594900000990000;11,395546190000100;47,258011899000103
292;Sporthalle Akademisches Gymnasium Innsbruck;Angerzellgasse 14;Sporthalle;Sporthalle;80513,913499999806000;237123,840900000010000;11,396964829000099;47,268048199000098
293;Sporthalle BG/BRG Sillgasse;Sillgasse 10;Sporthalle;Sporthalle;80674,416899999604000;237047,141299999990000;11,399071604000101;47,267338777000099
294;City Squash and Fitness;Hunoldstraße 5;Fitnesscenter;Fitness/Klettern;81216,705099999905000;236617,134400001000000;11,406158318000100;47,263404985000101
295;City Squash and Fitness;Hunoldstraße 5;Squashhalle;Tennis/Squash;81203,048100000204000;236602,477600001000000;11,405975241000100;47,263274858999999
296;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;81913,300300000206000;237505,046200000010000;11,415523281000000;47,271303752999998
297;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;81938,363699999594000;237469,144499999990000;11,415847872000100;47,270977765000097
298;Body and Soul Women;Amraser-See-Straße 60;Fitnesscenter;Fitness/Klettern;83071,235299999797000;236649,526799999000000;11,430664191000099;47,263464884000101
299;Vereinsheim Arzl;Schusterbergweg 15;Sporthalle;Sporthalle;83120,599600000307000;238688,750000000000000;11,431694772000100;47,281797462999997
300;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;82363,285699999906000;236783,202800000000000;11,421336149000100;47,264755999999998
301;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;82407,495900000402000;236689,364499999010000;11,421902961000100;47,263906571000099
302;Tennisclub IEV;Reichenauer Straße 144;Beachvolleyballplatz;Funsport;82773,624800000296000;237774,591499998990000;11,426940380000101;47,273620145000102
303;Sportanlage Hötting West;Franz-Baumann-Weg 8;Leichtathletikanlage;Sonstiges;76477,906299999901000;236953,595399999990000;11,343610953000100;47,266998398000098
304;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;76504,587399999597000;236959,010299999000000;11,343964390000099;47,267043995999998
305;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;76444,759800000102000;236943,188700000000000;11,343171244000100;47,266908657000002
306;Sportanlage Hötting West;Franz-Baumann-Weg 8;Basketballplatz;Funsport;76522,130300000295000;236895,156500001000000;11,344185265000100;47,266467701000103
307;Sportanlage Hötting West;Franz-Baumann-Weg 8;Eislauf-/Beachvolleyballpl.;Funsport;76500,289699999601000;236890,881400000010000;11,343895979000100;47,266431791999999
308;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81397,248900000006000;235765,508300001010000;11,408388814000100;47,255723906000100
309;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Basketballplatz;Funsport;81422,534400000193000;235832,773800001010000;11,408735026000000;47,256325707000101
310;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Fußballplatz;Fußball/Football;81436,768799999700000;235772,800500000010000;11,408912156000000;47,255784599000002
311;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81400,268000000200000;235824,975500000990000;11,408439490000100;47,256258328999998
312;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81424,965200000399000;235705,757600000010000;11,408744066000100;47,255183133000102
313;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81473,638899999700000;235712,210800000000000;11,409388162000100;47,255235147000100
314;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81490,423999999693000;235696,178600000010000;11,409606960000101;47,255088891000099
315;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81435,200199999803000;235700,412699999000000;11,408878288000000;47,255133800000102
316;Fun-Court;Olympiastraße;Sportplatz;Spielplatz;81365,698900000207000;236085,290400000000000;11,408030111000100;47,258603647000101
317;Fun-Court;Olympiastraße;Streetballplatz;Funsport;81325,365000000194000;236081,059500000000000;11,407496544000100;47,258570581000100
318;Fun-Court;Olympiastraße;Sportplatz;Spielplatz;81326,775299999907000;236065,546499999010000;11,407512360000100;47,258430896999997
319;Freibad Gruberhof;Heiligwasserweg;Freibad;Schwimmen;81962,453300000197000;232738,254799999010000;11,415301539000000;47,228429304000102
320;Olympia Golf;Badhausstraße;Golfplatz;Golf/Minigolf;82636,822100000500000;232306,339500000990000;11,424125162000101;47,224460827000101
321;Billard-Sport-Arena;Bachlechnerstraße 46;Billard;Sonstiges;78907,659300000407000;236710,142800000000000;11,375669881000100;47,264522231999997
322;At Charly´s Friends;Adamgasse 23;Billard;Sonstiges;80651,801500000103000;236324,882999999010000;11,398642827000099;47,260846172000100
323;Pool Café;Müllerstraße 27;Billard;Sonstiges;80050,063299999601000;236341,218300000010000;11,390696587000001;47,261066513000102
324;Billardlokal Verein Little Pool Team Innsbruck;Reichenauer Straße 19;Billard;Sonstiges;81533,155700000003000;237388,674699999010000;11,410479308999999;47,270304416000002
325;Billardlokal Tiroler Pool Billard Trainingszentrum;Dörrstraße 51;Billard;Sonstiges;83542,825199999803000;238336,484099999010000;11,437208898000099;47,278576050000098
326;Billardlokal Verein BC Grand Prix Innsbruck;Innrain 102;Billard;Sonstiges;79135,019999999597000;235954,973399999990000;11,378540289000100;47,257703545000098
327;WUB-Skatehalle;Matthias-Schmid-Straße 12;Skate-/Rollerbladehalle;Funsport;81826,329500000007000;238145,567199999000000;11,414491172000099;47,277074831999997
328;Funsportzentrum Innsbruck;Paschbergweg 3;Tennishalle;Tennis/Squash;81301,049800000197000;235606,106899998990000;11,407089216000101;47,254302271000100
329;Sporthalle BORG Fallmerayerstraße;Fallmerayerstraße 7;Sporthalle;Sporthalle;80235,845300000205000;236590,082300000010000;11,393195389000100;47,263281974999998
330;Minigolf Kranebitter Hof;Kranebitter Allee 203;Minigolfanlage;Golf/Minigolf;75360,538400000005000;236401,628699999010000;11,328755366000101;47,262163218000097
